!SIL	SIL
<UNK>	SPN
'BOUT	B AA
'BOUT	B AW
'BOUT	B OW
'CAUSE	K AH S
'CAUSE	K AH Z
A	AA AH
A	AE
A	AH
A	AH ER
A	AH R
A	DH AH
A	EH
A	ER
A	EY
A	IH
A	OW
A	UH
A	UH IH
A	Y AH
ABCS	EY B IY S IY
ABOUT	AH B AW T
ABOVE	AH B AH F
ABOVE	AH B AH V
ACHING	EY K IY NG
ACHING	HH EY K IH NG
ACHING	IH K IY NG
AFAR	AH F AA R
AFRAID	AA F R EY T
AFRAID	AH F R EY D
AFRAID	HH AH F R EY D
AFTER	AA F T AH
AFTER	AA F T AH R
AFTER	AE F T AH ER
AFTER	AE F T ER
AFTER	AH F T AH
AFTER	EH AE F T ER
AFTER	HH AE F T ER
AFTERNOON	AA F T ER N UW
AFTERNOON	HH AA F T ER N OW N
AGAIN	AH G EH N
AGAIN	AH G EY N
AGAIN	AH G Y EH N
AGLOW	AH G L OW
AGO	AH G OW
AIR	EH AH ER
AIR	EH ER
AIR	EH R
ALL	AH AO L
ALL	AH OW
ALL	AO
ALL	AO AH
ALL	AO L
ALL	AO OW
ALL	EH AW L
ALL	HH AO
ALL	OW
ALL	OW DH OW
ALL	OW L
ALONE	AH L AO N
ALONE	AH L OW N
ALONE	AH L OW W N
ALONG	AH L AO NG
ALONG	AH L AO OW NG
ALRIGHT	AA UH HH R AY T
ALRIGHT	AH OW UW R AY T
ALRIGHT	AO R AY
ALRIGHT	AO R AY T
ALWAYS	AO OW W EY S
ALWAYS	AO W EY
ALWAYS	AO W EY S
ALWAYS	AO W EY Z
ALWAYS	OW W EY S
ALWAYS	OW W EY Z
AM	AE M
AM	EH M
AN	AA N
AN	AE N
AN	AH N
AN	EH N
AN	HH EH N
AND	AE AH N
AND	AE AH N D
AND	AE N
AND	AE N D
AND	AH N
AND	AY EH N CH
AND	B R AH
AND	EH
AND	EH AH N
AND	EH B D
AND	EH M
AND	EH N
AND	EH N AH
AND	EH N D
AND	EH N D AH
AND	EH N T
AND	EY D
AND	EY N
AND	HH AE N
AND	HH AH N
AND	HH EH M
AND	HH EH N
AND	HH EH N D
AND	IH D AH N
AND	IH N
AND	IH NG
AND	JH AH S T
AND	N
ANGELS	EH N JH AH OW S
ANGELS	EY N CH AH L S
ANGELS	EY N JH Y EH AH L S
ANGELS	EY N JH Y EH AH OW L S
ANGELS	EY NG JH EH AH OW S
ANGELS	EY NG JH EH L S
ANOTHER	AA N AH DH ER
ANOTHER	AH N AA D AH
ANOTHER	AH N AA D AH R
ANOTHER	AH N AA DH ER
ANOTHER	AH N AE AH D AH R
ANOTHER	AH N AH DH AH
ANOTHER	AH N AH DH AH ER
ANOTHER	AH N AH DH ER
ANOTHER	AH N AH V AH
ANOTHER	AH N AH Z AH ER
ANOTHER	EH N AA DH ER
ANOTHER	EY N AH D IH AH R
ANOTHER	N AA D AH
ANOTHER	N AH D AH
ANOTHER	N AH D ER
ANOTHER	N AH DH AH
ANYHOW	EH N IY HH AW
ANYTHING	EH N IH T IH NG
ANYTHING	EH N IY TH IY NG
APART	AH P AA AH R
APART	AH P AA R
APART	AH P AO
APART	AH P AO HH AH ER T
ARE	AA
ARE	AA AH
ARE	AA AH R
ARE	AA ER
ARE	AA R
ARE	AH
ARE	AH AA R
ARE	AH ER
ARE	AH R
ARE	AO ER
ARE	AO R
ARE	ER
ARE	IH
ARE	W AH ER
ARE	W AH R
ARE	Y AH R
ARMS	AA AH ER M S
ARMS	AA ER M S
ARMS	AO M S
ARMS	HH AA M S
AROUND	AH ER R AW N
AROUND	AH R AO
AROUND	AH R AW
AROUND	AH R AW N
AROUND	AH R AW N D
AROUND	AH R AW OW N D W
AROUND	ER R AO N
AROUND	ER R AW N
AROUND	ER R AW UW N
AS	AE S
AS	AE Z
AS	AH S
AS	EH S
AS	EH Z
AS	HH AE S
AS	HH EH S
AS	IH S
ASK	AA S
ASK	AH S
ASKS	AE S
ASKS	AE S K S
ASKS	EH S
ASKS	EH S K S
ASKS	EH S S
AT	AA EH T
AT	AE
AT	AE T
AT	AH AO AH
AT	EH
AWAY	AH OW W EY
AWAY	AH W AY
AWAY	AH W EY
AWAY	AO W EY
AWAY	EH AH W EY
AWAY	IH OW W EY
AWAY	OW W EY
AWAY	UW AO W EY
AWOKE	AH W AO OW
AWOKE	AH W OW K
AWOKE	OW W OW K
B	B IY
BABY	B EY B EH
BABY	B EY B IY
BABY	B EY B IY Y
BABY	B EY IY B EY
BABY	B EY V IY
BACK	B AE
BACK	B AE AY
BACK	B AE K
BACK	B EH
BACK	B EH AY
BACK	B EH K
BANK	B AE N K
BANK	B EH NG
BE	B IY
BE	B IY AH
BE	B IY UW
BE	B IY Y
BE	V IY
BE	W IY
BE	W IY IH AH
BE	W IY Y
BEAMS	B IY M S
BEATS	B IH S
BEATS	B IY IH S
BEATS	B IY S
BEAUTIFUL	B IY Y UW T IH F OW
BEAUTIFUL	B Y UW T IH F L
BEAUTIFUL	P IH UW T IH F UW
BEAUTIFUL	P Y UW T IH F UW
BECAUSE	B IH K AH S
BECAUSE	B IY K AH S
BECAUSE	B IY K AH Z
BECOMES	B IY K AO M Z DH
BECOMES	M B IY K AH M Z
BED	B AE
BED	B EH
BED	B EH D
BED	B EH T
BED	P EH D
BED	P EH T
BEEN	B IH EH N
BEEN	B IH N
BEEN	B IY N
BEEN	W IY N
BELIEVE	B AH IH V
BELIEVE	B AH L IH V
BELIEVE	B AH L IY V
BELIEVE	B IH L IH IH R F
BELIEVE	B IH L IY F
BELIEVE	B IH L IY V
BELIEVE	B IY L IY V
BELIEVE	B L IY F
BELIEVE	B L IY V
BELIEVE	B UH L IY
BELIEVE	B UH L IY F
BELIEVE	P UH L IY F
BELIEVE	W AH IH V
BELLS	B AE
BELLS	B AE AA
BELLS	B AE AH
BELLS	B AE AW
BELLS	B AE OW
BELLS	B AH EH AH OW S
BELLS	B AW
BELLS	B AW S
BELLS	B EH AH OW S
BELLS	B EH AH OW UH S
BELLS	B EH AH UH S
BELLS	B EH AW S
BELLS	B EH OW S
BELLS	B EH S
BELONG	B IH L AO NG AH
BELONG	B IY L AO NG
BEND	B AE
BEND	B EH N
BENEATH	B IY N IY TH
BENEATH	P IY N IY
BEST	B EH S
BEST	B EH S T
BEST	P EH S T
BEST	V EH S T
BETWEEN	B IH T W IY IH N
BETWEEN	B IH T W IY N
BETWEEN	B IY T W IY N
BEYOND	B IY Y AO N
BIRDS	B ER D S
BIRDS	B ER Z
BIRTH	B ER TH
BIT	B IH
BIT	B IH T
BITTER	B IH T ER
BITTER	B IY T AH
BLACK	B L AE K
BLAZING	B L EY Z IH NG
BLAZING	B L EY Z IH NG AH
BLEED	B L IY D
BLEED	P L IY D
BLESS	B L EH S
BLONDE	B L AA N D
BLONDE	B L AH N
BLONDE	B L AO N
BLONDE	B L AO N D
BLOOM	B L UW M
BLOSSOM	B L AA S AH M
BLOSSOM	B L AH S AH M
BLUE	B L UW
BOB	B AA B
BOB	B AO F
BORING	B AH R IY NG
BORING	B AO R IY NG
BORN	B AO AA AH R N
BORN	B AO AH N
BORN	B AO N
BORN	B AO R N
BOTH	B OW TH
BRAND	B R EH N
BRAND	V R EH
BREAD	B R AE
BREAD	B R EH D
BREAD	B R EH T
BREAKER	B R EY K AH
BREAKER	B R EY K ER
BREAKING	P R EY K IY NG
BREAKING	R EY K IY NG
BREAKS	B R EY K S
BREAKS	B R EY S
BREAKS	R EY K S
BRIGHT	B R AY
BRIGHT	B R AY N
BRIGHT	B R AY T
BRIGHTER	B R AY T AH
BRIGHTER	B R AY T ER
BRING	B R IH NG
BRING	B R IY
BRING	OW HH W IY NG
BRINGING	B R EY NG IH
BRINGING	B R IH NG IH
BRINGING	B R IH NG IY
BRINGING	F R IH NG IY
BRINGING	V R IH IY IH
BROKEN	B R OW K AH N
BROKEN	V R OW K AH N
BRUSHES	B R AH SH AH S
BRUSHES	B R AH SH IH Z
BRUSHES	B R EH SH IH S
BRUSHES	SH AH S
BUT	B AA T
BUT	B AH
BUT	B AH T
BUT	B AO AH
BUT	M B AH
BUT	M B AH T
BY	B AY
CALL	K AO
CALM	K AA M
CALM	K AO M
CALM	K AW AH M
CAN	K AE AH N
CAN	K AE N
CAN	K AE N IY
CAN	K EH
CAN	K EH M
CAN	K EH N
CAN	K EH N W
CAN	K EH NG
CAN	K HH EH N
CAN	K IH N
CAN	K Y EH AE EH N
CAN	K Y EH N
CAN'T	K AA N T
CAN'T	K AE N
CAN'T	K AH N
CAN'T	K EH
CAN'T	K EH AH
CAN'T	K EH N
CAN'T	K EH N CH
CAN'T	K EH N T
CAN'T	K EH NG
CAN'T	K Y EH N
CANNOT	K AE N AO
CANNOT	K EH N AA AH
CAR	K AA
CAR	K AA ER
CAR	K AA R
CAR	K AO R
CARE	K EH
CARE	K EH ER
CARE	K EH R
CAUGHT	K AA
CAUGHT	K AA AH T
CAUGHT	K AA T
CAUGHT	K AO T
CAUSE	K AH S
CAUSE	K AO S
CHANCE	CH AE N S
CHANCE	CH EH AE N S
CHANCE	CH EH N S
CHANCE	CH EH NG S
CHANCE	CH Y EH N S
CHANGE	CH EY N JH
CHANGE	JH EY S
CHILD	CH AA AH L D
CHILD	CH AY L D
CHILDREN	CH IH AH AA JH R EH N
CHILDREN	CH IH AH JH R EH N
CHRIST	K R AA HH AY S TH
CHRIST	K R AY S
CHRIST	K R AY S T
CLEAN	K L IY N
CLIMBED	K L AY M
CLIMBED	K L AY M D
CLIMBED	K L AY M T
CLOTHES	K L AH OW S
CLOTHES	K L OW S
CLOUD	G L AO
CLOUD	K L AW D
COME	K AA M
COME	K AH M
COMPLETE	K AH M P L IY
COMPLETE	K AH M P L IY T
COPE	K OW P
COULD	K AH
COULD	K UH
COULD	K UH T
COULD	K UW AH
COULD	K UW D
COUNT	K AW
COUNT	K AW N T
CRAZY	K R EY Z EY
CRAZY	K R EY Z IH
CRAZY	K R EY Z IY
CRIED	K R AY
CRIED	K R AY D
CRIED	K R AY T
CROSS	K R AH S
CROSS	K R AO S
CROSSED	K R AH S
CROSSED	K R AO S
CROSSED	K R OW AH S
CROSSED	S T AA K R AA S TH AH
CROSSING	K R AO S IY N
CROSSING	K R AO S IY NG
CRY	K R AY
CRY	K R AY Y
CS	S IY Z
CURTAINS	K AH ER N S
CURTAINS	K ER T AH N S
DANCE	T EH N S
DANCE	T Y EH N S
DARK	D AA N
DARK	D AA R K
DARKEST	D AA K AH S
DARKNESS	D AA HH ER K N EH S
DARKNESS	D EH AE R K N AH S
DARLING	D AA L EY NG
DARLING	D AA L IH NG
DARLING	D AA R L EY NG
DARLING	D AA R L IH NG
DARLING	D AA R L IY NG
DARLING	D AH R L IY NG
DARLING	D AO R L IY NG
DARLING	T AH L IY NG
DASHING	D AH SH IY NG
DASHING	D EH SH IY
DAWN	D AO N
DAY	D AY
DAY	D EY
DAY	JH EY
DAY	T EY Y
DEAR	D IY AH
DEAR	D IY ER
DEAR	D IY IH ER
DEAR	D IY IH R
DEAR	D IY R
DEAR	DH IH EH AH R
DEAR	DH IH EH R
DEAR	DH IH IH R
DEAR	IH EH ER
DEAR	JH IY ER
DEAR	TH IH EH R
DEAR	TH IY IH ER
DEAR	ZH IY ER
DEEP	D IY P
DEER	D IY ER
DEER	D IY IH R
DESERT	D EH S ER T
DESERT	D EH Z ER
DESTINATION	D EH S T IH N EY SH AH N
DESTINATION	D EH S UH N EY SH Y EH N
DIAMOND	D AY M AH N D
DIAMOND	D AY M EH N D
DID	D IH
DIE	D AY
DO	D AH UH UW
DO	D IH UW W
DO	D OW
DO	D UH AH W
DO	D UW
DO	D UW W
DO	JH UW
DO	JH UW W
DO	N D Y UW W
DO	N T UW W
DO	T UW
DO	ZH UW
DOE	D OW
DOES	D AH
DOES	D AH S
DOES	DH AH
DOESN'T	D AH Z AH N
DON'T	D AH N
DON'T	D AO N
DON'T	D OW
DON'T	D OW N
DON'T	D OW N T
DON'T	JH AH NG
DON'T	T AH N
DON'T	T OW N
DON'T	T OW N T
DON'T	TH AH N
DOWN	D AW
DOWN	D AW N
DREAM	CH R IH M
DREAM	CH R IY M
DREAM	JH R EY IY M
DREAM	JH R EY M
DREAM	JH R IY M
DREAMS	CH R IH M S
DREAMS	CH R IY M S
DREAMS	D R IY M S
DREAMS	JH R IH M S
DREAMS	JH R IY M S
DREAMS	JH R IY N S
DREAMT	CH R IH M T
DREAMT	JH R IH M D
DREAMT	JH R IY M
DREAMT	JH R IY M D
DRIFTED	D R IH F T IH
DRIFTED	JH R IH F IH T IH
DRIFTERS	D R IH F T AH R S
DRIFTERS	DH IH R IH F T AA R S
DRIFTERS	JH R EY F T ER S
DRIFTERS	JH R IH F T ER S
DRINK	D R IY
DRINK	JH R IH NG K
DRINK	JH R IY NG
DRIVING	JH R AY F IY NG
DRIVING	JH R AY V IY NG
DROP	D R AO P
DROP	JH AA P
DROP	JH R AO P
DROWNS	CH R AW N S
DROWNS	JH R AW N S
DRY	JH R AY
DRY	V JH R AY
DYING	D AY IH N
DYING	D AY Y IH N AH
E	IH
EACH	IY CH
EASY	IY S
EDELWEISS	EY D AH L V AY S
EDELWEISS	EY D L V AY S
EH	EH
ELSE	EH AE AW S
ELSE	EH AH AW S
ELSE	EH AW S
ELSE	EH L S
ELSE	IH EH AW S
ELSE	OW S
ENCHANTED	EH N CH AE N T IH D N
ENCHANTED	EH N CH EH N T IH
ENCHANTED	IH N CH EH N T AH T
ENCHANTED	IH N SH EH N T IH
END	AE N
END	EH N
END	EH N D
END	HH EH N D
END	IH EH N
END	Y EH N D
ENDLESS	EH AH N D L AH S
ENDLESS	EH N L AH S
ENJOY	DH AH
ENJOY	DH UH
ENJOY	EH N JH OY
ENJOY	IH N JH OY
ENJOY	IH N JH OY UH
ENOUGH	AH N AH F
ENOUGH	IH N
ENOUGH	IH N AA AH F
ENOUGH	IH N AA F
ENOUGH	IH N AH F
ENOUGH	IH N AH F AH
ENOUGH	IH N AW
ENOUGH	IH N AW F
ENOUGH	IY N AH F
ENOUGH	IY N AW F
ENOUGH	N AH F
EVEN	HH IH V AH EY N
EVEN	IY V AH N
EVENING	IY F N IY NG
EVENING	IY IH F N IH NG
EVENING	IY V N IH NG
EVENING	IY V N IY NG
EVER	AE AH V AH
EVER	EH R V ER
EVER	Y AE AH V AH
EVER	Y AE F ER
EVERY	EH ER V R IY
EVERY	EH R V R IY
EVERY	EH V ER IY
EVERY	EH V IH
EVERY	EH V R IH
EVERY	EH V R IY
EVERYONE	AE V R IH W AH N
EVERYONE	EH AH V R IY W AH N
EVERYONE	EH F R IH W AH N
EVERYONE	EH V R IH W AH N
EVERYONE	EH V R IH W AO AH N
EVERYONE	EH V R IY W AH N
EVERYONE	W EH R V R IY W AH N
EVERYTHING	AE F R IH T IY NG
EVERYTHING	EH F R IY TH IH IY NG
EVERYTHING	EH R IH T IH NG
EVERYTHING	EH V IH T IH NG
EVERYTHING	EH V R IY TH IH NG
EVERYTHING	HH EH R V AH TH IY NG
EVERYWHERE	EH V R IH W EH R
EVERYWHERE	EH V R IY OW HH W EH ER
EVERYWHERE	EH V R IY W EH AH
EVERYWHERE	EH V R IY W EH AH ER
EVERYWHERE	EH V R IY W EH ER
EVERYWHERE	EH V R IY W EH R
EYE	AY
EYED	AY
EYED	AY D
EYED	AY D AH
EYED	AY T
EYED	W AY D AY D AH
EYED	Y AY T
EYES	AY S
FACE	F EY S
FAIL	F EY AH
FAIL	F EY L
FAIR	F EH
FAIR	F EH R
FAIRY	F EH R IY
FAIRYTALE	F EY R IH T EY L
FAITH	F EY TH
FALLING	F AO L IH NG
FALLING	V AO L IH NG
FAMILY	F AE M AH L IY
FAMILY	F EH AH M AH L IY
FANNY	F AE N IY
FANNY	F AH N IY
FANTASY	F EH N T AH S IY
FAR	F AA
FAR	F AA AH
FAR	F AA AH ER
FAR	F AA ER D
FAR	F AA R
FAR	F AH AA R
FAR	F AH ER
FAR	F AO R
FAST	F AA S
FAST	F AE S T
FEEL	F IH AH
FEEL	F IH AH L
FEEL	F IH AH OW
FEEL	F IH L
FEEL	F IH L OW
FEEL	F IH OW
FEEL	F IH UW
FEEL	F IY AH
FEEL	F IY AH L
FEEL	F IY AH UH
FEEL	F IY AH UW
FEEL	F IY IH AH
FEEL	F IY IH L
FEEL	F IY IH OW
FEEL	F IY L
FEEL	F IY OW
FEEL	F IY UW
FEEL	F IY Y AH
FEEL	F IY Y UW
FEET	F IY
FEMALE	F IY M EH L
FEMALE	F IY M EH OW
FEMALE	F IY M EY L
FIELDS	F IY AH S
FIELDS	F IY UW S
FIGURE	F IH G ER
FIGURE	F IH G ER R
FIGURE	F IH G IH ER R
FIGURE	F IY G IH UW R
FIND	F AY N
FIND	F AY N D
FLOWER	F L AW W ER
FLOWERS	F L AW AH Z
FLOWERS	F L AW W ER Z
FLY	F L AY
FOLLOW	F AA L OW
FOLLOW	F AO L OW
FOOL	F UW L
FOR	AH F
FOR	F AA R
FOR	F AH
FOR	F AH R
FOR	F AO
FOR	F AO AH
FOR	F AO AH R
FOR	F AO AY
FOR	F AO ER
FOR	F AO ER R
FOR	F AO OY
FOR	F AO OY IY
FOR	F AO R
FOR	F AO R AH
FOR	F ER
FOR	F OW
FOR	F OW AH
FOR	F OW AO R
FOR	F OW ER R
FOR	F OW R
FOR	F UH AO
FOR	F UW OY
FOR	F UW R
FOR	F W AH
FOREVER	F AO AH ER R EH V AH
FOREVER	F AO ER EH V AH
FOREVER	F AO ER EH V ER
FOREVER	F AO ER R EH V AH
FOREVER	F AO R EH AE V AH R
FOREVER	F AO R EH V AH
FOREVER	F OW R EH V ER
FRIEND	F R AE
FRIEND	F R EH N
FRIEND	F R EH N AH
FRIEND	F R EH N D
FRIEND	F R EH N T
FROM	F ER M
FROM	F R AH M
FROM	F R AO M
FROM	F R AO M AH
FROM	F R AW M
FROM	F R OW AH M
FROM	F R OW M
FTER	F T AH R
FULFILL	F AH AO F IH AH T
FULFILL	F OW F IH L D
FUN	B AH AA N
FUN	F AA AH N
FUN	F AA N
FUN	F AH AA AH N
FUN	F AH AA N
FUN	F AH N
FUTURE	F IY Y UW CH ER
FUTURE	F Y UW CH AH R
GAVE	G AY F
GAVE	G EY V
GET	G AE
GET	G EH
GET	G EH T
GET	G Y EH
GIANT	JH AY IH N
GIANT	JH AY Y EH N
GIFT	G IH EH F T
GIFT	G IH F T
GIRL	G AH L
GIRL	G ER L
GIRLS	G ER AH L S
GIRLS	G ER L S
GIVE	G IH F
GIVE	G IH V
GIVE	G IY EY IH EY IH AH
GIVE	G IY OW F
GIVE	K IY F
GIVE	K IY IH F
GLORIES	G L AO R IY
GO	EH N
GO	G AH OW
GO	G OW
GO	G OW AH
GO	G OW W
GO	G OW W AH
GO	K AH
GOD	G AA D
GOD	G AO AH D
GOING	G AH IH N
GOING	G OW IH IY NG
GOING	G OW IH NG
GOING	G OW IY NG
GOING	G OW W AH N
GOING	G OW W IH IY N
GOING	G OW W IH NG
GOING	G OW W IY
GOING	G OW W IY NG
GOLDEN	G OW D AH N
GOLDEN	G OW L D AH N
GONE	G AA N
GONE	G AO AA N
GONE	G AO N
GOOD	G UH D
GOOD	G UH IH D
GOOD	G UW D
GOODBYE	G UH B AY
GOODBYE	G UH D B AY
GOT	G AA
GOT	G AA N
GOT	G AA T
GOT	G AA T AH
GOT	G AA T SH
GOT	G AE T
GOT	G AH
GOT	G AH AO
GOT	G AO
GOT	G AO T
GOT	G Y AO
GOT	K AH T
GOT	K AO
GRACE	G R EY S
GRANTED	G R AA N T IH
GRANTED	G R AE N T AH T
GRANTED	G R EH N AH T
GRANTED	G W AE N S IH
GREAT	G R EY
GREET	G R IY T
GREY	G R EY
GROUND	G R AW N
GROW	G R OW
HAD	EH D
HAD	HH AA D
HAD	HH AE
HAD	HH AE D
HAD	HH AH
HAD	HH AH D
HAD	HH EH
HAD	HH EH D
HAD	HH EH T
HAIR	HH EH ER
HAIR	HH EY EH AH R
HALLELUJAH	AA L EH L UW Y AA
HALLELUJAH	HH AA L IH L UW Y AA
HAND	HH AE N D
HAND	HH EH N S
HANGING	HH EH N IY Y
HANGING	HH EH NG IY NG
HAPPEN	HH AA P AH N
HAPPEN	HH AE P EH N
HAPPENS	HH AE AH P AH N S
HAPPENS	HH AE P AH N S
HAPPINESS	HH AE P IY N EH S
HAPPINESS	HH EH P IY N IH S
HAPPY	HH AE AA P IY
HAPPY	HH AE EH P IY
HAPPY	HH AE P IH
HAPPY	HH AE P IY
HAPPY	HH EH AE P IY
HAPPY	HH EH AH P IH
HAPPY	HH EH P IY
HARD	HH AA AH
HARD	HH AA R
HARD	HH AO AH
HAS	EH S
HAS	HH AE Z
HAS	HH AH Z
HAS	HH EH AH Z
HAS	HH EH S
HAS	HH EH Z
HAVE	HH AA V
HAVE	HH AE AA V
HAVE	HH AE EH V
HAVE	HH AE F
HAVE	HH AE V
HAVE	HH EH
HAVE	HH EH AH V
HAVE	HH EH F
HAVE	HH EH V
HE	HH IY
HEAD	EH D
HEAD	HH AE
HEAD	HH EH
HEAD	HH EH D
HEAD	HH EH T
HEAD	HH IH
HEAL	HH IY IH OW
HEAL	HH IY UW
HEAL	HH IY Y OW
HEAR	HH IY
HEAR	HH IY AH
HEAR	HH IY ER
HEAR	HH IY UH
HEAR	HH Y AH
HEAR	HH Y ER
HEART	DH AH
HEART	HH AA
HEART	HH AA AH D
HEART	HH AA AH EH T
HEART	HH AA AH R T
HEART	HH AA AH T
HEART	HH AA ER
HEART	HH AA R
HEART	HH AA R T
HEART	HH AA T
HEART	HH AH
HEART	HH AO
HEART	HH AW
HEARTS	HH AA
HEARTS	HH AA AH S
HEARTS	HH AA R
HEARTS	HH AA R S
HEARTS	HH AA R T
HEARTS	HH AA S
HEARTS	HH AO R S
HEARTS	HH AO R T
HEAT	HH IY
HEAT	HH IY IH D
HEAT	HH IY T
HEAVEN	EH V AH N
HEAVEN	HH AH V AH N
HEAVEN	HH EH V AH N
HEAVENLY	AH HH EH V AH N L IY
HEAVENLY	HH AA V AH N L IY
HEAVENLY	HH EH V AH N L IY
HEAVENLY	HH EH V N L IY Y AH
HEAVY	HH AE F IY
HEAVY	HH EH V IH
HELD	HH AW L D
HELD	HH EH AH OW D
HELD	HH EH OW CH
HELP	HH AE AH AW
HELP	HH EH AH
HELP	HH EH OW
HELPED	HH AH AW
HELPED	HH OW V
HELPING	HH EH AW L P IH NG
HELPING	HH EH OW P IH NG
HELPING	HH EH OW P IY NG
HELPS	HH AH P S
HELPS	HH EH AW S
HELPS	HH EH OW S
HELPS	Y EH AW V S
HER	ER
HER	HH AH
HER	HH AH AA
HER	HH AH ER
HER	HH AH R
HER	HH ER
HER	S AH
HERE	DH AH ER
HERE	HH IH
HERE	HH IH R
HERE	HH IY
HERE	HH IY AH
HERE	HH IY ER
HERE	HH IY IH AH
HERE	HH IY R
HERE	HH IY R UW
HERE	HH IY UW
HERE	HH IY Y ER
HERE	HH Y ER
HERE	IH UH
HEY	HH EY
HIGH	HH AY
HILLS	HH EH AE AW S
HILLS	HH IH AH L S
HILLS	HH IH L Z
HILLS	IH AH OW Z
HIS	HH IH S
HIS	IH S
HOLD	HH OW
HOLD	HH OW D
