A	AH
A(2)	EY
ABOVE	AH B AH V
AFAR	AH F AA R
ALL	AO L
ALWAYS	AO L W EY Z
ALWAYS(2)	AO L W IY Z
AN	AE N
AN(2)	AH N
AND	AH N D
AND(2)	AE N D
ANGELS	EY N JH AH L Z
ANOTHER	AH N AH DH ER
ANYTHING	EH N IY TH IH NG
ARE	AA R
ARE(2)	ER
AS	AE Z
AS(2)	EH Z
AT	AE T
AWAY	AH W EY
BE	B IY
BEAMS	B IY M Z
BEATS	B IY T S
BELIEVE	B IH L IY V
BELONG	B IH L AO NG
BEST	B EH S T
BIRTH	B ER TH
BLAZING	B L EY Z IH NG
BLESS	B L EH S
BLOOM	B L UW M
BLOSSOM	B L AA S AH M
BLUE	B L UW
BORN	B AO R N
BRIGHT	B R AY T
BY	B AY
CALM	K AA M
CALM(2)	K AA L M
CAN	K AE N
CAN(2)	K AH N
CHILD	CH AY L D
CHRIST	K R AY S T
CLEAN	K L IY N
COME	K AH M
COMPLETE	K AH M P L IY T
COPE	K OW P
COULD	K UH D
CROSS	K R AO S
CROSSED	K R AO S T
CRY	K R AY
CURTAINS	K ER T AH N Z
DARK	D AA R K
DARKNESS	D AA R K N AH S
DARLING	D AA R L IH NG
DAWN	D AO N
DAY	D EY
DEAR	D IH R
DEEP	D IY P
DESTINATION	D EH S T AH N EY SH AH N
DESTINATION(2)	D EH S T IH N EY SH AH N
DIAMOND	D AY M AH N D
DID	D IH D
DON'T	D OW N T
DON'T(2)	D OW N
DREAM	D R IY M
DREAMS	D R IY M Z
EDELWEISS	EY D AH L V AY S
ENCHANTED	EH N CH AE N T IH D
ENCHANTED(2)	EH N CH AE N IH D
END	EH N D
ENOUGH	IH N AH F
ENOUGH(2)	IY N AH F
EVEN	IY V IH N
EVERY	EH V ER IY
EVERY(2)	EH V R IY
EVERYONE	EH V R IY W AH N
EVERYTHING	EH V R IY TH IH NG
EVERYWHERE	EH V R IY W EH R
EVERYWHERE(2)	EH V R IY HH W EH R
EYE	AY
EYED	AY D
FACE	F EY S
FAIL	F EY L
FAIRY	F EH R IY
FANTASY	F AE N T AH S IY
FANTASY(2)	F AE N AH S IY
FAR	F AA R
FEEL	F IY L
FOLLOW	F AA L OW
FOR	F AO R
FOR(2)	F ER
FOR(3)	F R ER
FOREVER	F ER EH V ER
FROM	F R AH M
FULFILL	F UH L F IH L
FUTURE	F Y UW CH ER
GIFT	G IH F T
GIVE	G IH V
GLORIES	G L AO R IY Z
GO	G OW
GOD	G AA D
GONE	G AO N
GOOD	G UH D
GOOD(2)	G IH D
GOODBYE	G UH D B AY
GOT	G AA T
GRACE	G R EY S
GREATNESS	G R EY T N AH S
GREET	G R IY T
GROW	G R OW
HALLELUJAH	HH AE L AH L UW Y AH
HAPPINESS	HH AE P IY N AH S
HAPPY	HH AE P IY
HAVE	HH AE V
HE	HH IY
HEART	HH AA R T
HEAT	HH IY T
HEAVEN	HH EH V AH N
HEAVENLY	HH EH V AH N L IY
HELP	HH EH L P
HIGH	HH AY
HOLY	HH OW L IY
HOMELAND	HH OW M L AE N D
HOSTS	HH OW S T S
HOW	HH AW
HUG	HH AH G
I	AY
I'LL	AY L
IF	IH F
IN	IH N
INFANT	IH N F AH N T
IS	IH Z
IT	IH T
IT'S	IH T S
JESUS	JH IY Z AH S
JOY	JH OY
JUST	JH AH S T
JUST(2)	JH IH S T
KALEIDOSCOPE	K AH L AY D AH S K OW P
KEEP	K IY P
KINGS	K IH NG Z
KISS	K IH S
KISSING	K IH S IH NG
KNOW	N OW
LAID	L EY D
LAST	L AE S T
LEARN	L ER N
LET	L EH T
LIFE	L AY F
LIGHT	L AY T
LIGHTS	L AY T S
LIKE	L AY K
LITTLE	L IH T AH L
LONG	L AO NG
LOOK	L UH K
LORD	L AO R D
LOVE	L AH V
LOVES	L AH V Z
MADE	M EY D
MAKE	M EY K
MAKES	M EY K S
MAY	M EY
ME	M IY
MEET	M IY T
MEMORIES	M EH M ER IY Z
MILD	M AY L D
MILE	M AY L
MINE	M AY N
MOMENT	M OW M AH N T
MORNING	M AO R N IH NG
MOTHER	M AH DH ER
MOVES	M UW V Z
MY	M AY
NEVER	N EH V ER
NIGHT	N AY T
NOT	N AA T
NOTHING	N AH TH IH NG
OF	AH V
OFTEN	AO F T AH N
OFTEN(2)	AO F AH N
OH	OW
ONLY	OW N L IY
OUR	AW ER
OUR(2)	AW R
OUR(3)	AA R
OUTDOORS	AW T D AO R Z
PART	P AA R T
PEACE	P IY S
PEEP	P IY P
PURE	P Y UH R
PUSHING	P UH SH IH NG
QUAKE	K W EY K
RADIANT	R EY D IY AH N T
REALITY	R IY AE L AH T IY
REASON	R IY Z AH N
REDEEMING	R IH D IY M IH NG
REST	R EH S T
RESTLESS	R EH S T L AH S
RHYME	R AY M
RIGHT	R AY T
ROLLING	R OW L IH NG
ROUND	R AW N D
RUSH	R AH SH
SAVIOR	S EY V Y ER
SAY	S EY
SEA	S IY
SEE	S IY
SEES	S IY Z
SHEPHERDS	SH EH P ER D Z
