# gunzip -c exp/tri1_ali_10k/phone_stats.*.gz | steps/diagnostic/analyze_phone_length_stats.py data/lang_nosp 
# Started at Mon Mar 15 01:34:56 EET 2021
#
At utterance begin, SIL accounts for 100.0% of phone occurrences, with duration (median, mean, 95-percentile) is (28,30.9,55) frames.
At utterance end, SIL accounts for 99.0% of phone occurrences, with duration (median, mean, 95-percentile) is (21,24.0,48) frames.
At utterance end, nonsilence accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (18,18.6,32) frames.
Overall, nonsilence accounts for 94.3% of phone occurrences, with duration (median, mean, 95-percentile) is (7,8.2,17) frames.
Overall, SIL accounts for 5.6% of phone occurrences, with duration (median, mean, 95-percentile) is (26,33.5,95) frames.
Overall, AH0_I accounts for 3.9% of phone occurrences, with duration (median, mean, 95-percentile) is (4,4.4,8) frames.
Overall, N_I accounts for 3.8% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.6,10) frames.
Overall, D_E accounts for 3.1% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.6,12) frames.
Overall, T_E accounts for 3.0% of phone occurrences, with duration (median, mean, 95-percentile) is (5,6.4,15) frames.
Overall, DH_B accounts for 2.7% of phone occurrences, with duration (median, mean, 95-percentile) is (5,4.9,8) frames.
Overall, R_I accounts for 2.5% of phone occurrences, with duration (median, mean, 95-percentile) is (6,7.0,14) frames.
Overall, Z_E accounts for 2.3% of phone occurrences, with duration (median, mean, 95-percentile) is (9,10.5,20) frames.
Overall, IH0_I accounts for 2.3% of phone occurrences, with duration (median, mean, 95-percentile) is (4,4.6,8) frames.
Overall, EH1_I accounts for 2.3% of phone occurrences, with duration (median, mean, 95-percentile) is (6,7.3,15) frames.
Overall, N_E accounts for 2.3% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.9,17) frames.
Overall, T_I accounts for 2.2% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.3,13) frames.
Overall, L_I accounts for 2.1% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.5,16) frames.
Overall, HH_B accounts for 2.0% of phone occurrences, with duration (median, mean, 95-percentile) is (6,7.0,13) frames.
Overall, W_B accounts for 1.9% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.9,17) frames.
Overall, IH1_I accounts for 1.9% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.8,11) frames.
Overall, S_I accounts for 1.6% of phone occurrences, with duration (median, mean, 95-percentile) is (11,10.8,16) frames.
Overall, S_B accounts for 1.6% of phone occurrences, with duration (median, mean, 95-percentile) is (13,13.6,20) frames.
Overall, AE1_I accounts for 1.6% of phone occurrences, with duration (median, mean, 95-percentile) is (10,10.4,21) frames.
Overall, AH0_B accounts for 1.5% of phone occurrences, with duration (median, mean, 95-percentile) is (4,4.6,8) frames.
