# gunzip -c exp/tri2b_ali_10k/phone_stats.*.gz | steps/diagnostic/analyze_phone_length_stats.py data/lang_nosp 
# Started at Wed Mar 17 23:52:19 EET 2021
#
At utterance begin, SIL accounts for 100.0% of phone occurrences, with duration (median, mean, 95-percentile) is (26,29.2,53) frames.
At utterance end, SIL accounts for 95.3% of phone occurrences, with duration (median, mean, 95-percentile) is (18,21.5,45) frames.
At utterance end, nonsilence accounts for 4.7% of phone occurrences, with duration (median, mean, 95-percentile) is (20,20.9,32) frames.
At utterance end, N_E accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (20,20.4,27) frames.
At utterance end, Z_E accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (21,22.3,31) frames.
At utterance end, D_E accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (15,15.8,22) frames.
At utterance end, T_E accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (17,17.2,28) frames.
Overall, nonsilence accounts for 94.6% of phone occurrences, with duration (median, mean, 95-percentile) is (7,8.5,18) frames.
Overall, SIL accounts for 5.3% of phone occurrences, with duration (median, mean, 95-percentile) is (24,31.4,91) frames.
Overall, AH0_I accounts for 3.9% of phone occurrences, with duration (median, mean, 95-percentile) is (4,4.8,8) frames.
Overall, N_I accounts for 3.8% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.4,10) frames.
Overall, D_E accounts for 3.1% of phone occurrences, with duration (median, mean, 95-percentile) is (5,6.3,14) frames.
Overall, T_E accounts for 3.0% of phone occurrences, with duration (median, mean, 95-percentile) is (6,7.1,17) frames.
Overall, DH_B accounts for 2.7% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.2,8) frames.
Overall, R_I accounts for 2.5% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.2,13) frames.
Overall, IH0_I accounts for 2.3% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.1,9) frames.
Overall, EH1_I accounts for 2.3% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.6,15) frames.
Overall, N_E accounts for 2.3% of phone occurrences, with duration (median, mean, 95-percentile) is (7,8.3,19) frames.
Overall, Z_E accounts for 2.3% of phone occurrences, with duration (median, mean, 95-percentile) is (9,10.7,23) frames.
Overall, T_I accounts for 2.2% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.7,12) frames.
Overall, L_I accounts for 2.1% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.3,14) frames.
Overall, HH_B accounts for 2.0% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.5,13) frames.
Overall, W_B accounts for 1.9% of phone occurrences, with duration (median, mean, 95-percentile) is (8,9.0,16) frames.
Overall, IH1_I accounts for 1.9% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.2,11) frames.
Overall, S_I accounts for 1.7% of phone occurrences, with duration (median, mean, 95-percentile) is (10,10.2,15) frames.
Overall, S_B accounts for 1.6% of phone occurrences, with duration (median, mean, 95-percentile) is (13,13.2,20) frames.
Overall, AH0_B accounts for 1.6% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.3,10) frames.
